iter	Passed	Remaining
0	0	24
1	0	26
2	0	25
3	1	27
4	1	26
5	1	26
6	1	25
7	2	24
8	2	25
9	2	24
10	3	25
11	3	25
12	3	25
13	4	25
14	4	25
15	4	25
16	5	24
17	5	24
18	5	24
19	5	23
20	6	23
21	6	23
22	6	22
23	7	22
24	7	21
25	7	21
26	7	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	20
32	9	19
33	10	19
34	10	19
35	10	18
36	10	18
37	11	17
38	11	17
39	11	17
40	11	16
41	12	16
42	12	16
43	12	15
44	12	15
45	13	15
46	13	15
47	13	14
48	14	14
49	14	14
50	14	14
51	15	14
52	15	13
53	15	13
54	16	13
55	16	12
56	16	12
57	16	12
58	17	11
59	17	11
60	17	11
61	17	11
62	18	10
63	18	10
64	18	9
65	18	9
66	19	9
67	19	9
68	19	8
69	19	8
70	20	8
71	20	7
72	20	7
73	20	7
74	21	7
75	21	6
76	21	6
77	22	6
78	22	5
79	22	5
80	22	5
81	22	5
82	23	4
83	23	4
84	23	4
85	23	3
86	24	3
87	24	3
88	24	3
89	25	2
90	25	2
91	25	2
92	25	1
93	26	1
94	26	1
95	26	1
96	26	0
97	27	0
98	27	0
99	27	0
